name	tissue	genotype	dataset	collection_location	collection_coordinates	collection_date	bat_individual
22BM063_Haplotype1	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM063
22BM065	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM065
22BM028_Haplotype1	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM028
22BM064	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM064
21BM025	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM025
22BM075	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM075
22BM017	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM017
21BM017	Intestine	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM017
22BM021	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM021
22BM005	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM005
21BM010	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM010
21BM038	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM038
22BM008	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM008
22BM012	Lung	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM012
22BM013	Lung	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM013
22BM018	Lung	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM018
22BM022	Lung	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM022
22BM033	Lung	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM033
22BM042	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM042
22BM048	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM048
21BM012	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM012
21BM003	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM003
21BM013	Kidney	V_Ra_01	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2021-04-14	21BM013
22BM045	Intestine	V_Ra_04	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM045
22BM028_Haplotype2	Kidney	V_Ra_04	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM028
22BM067	Kidney	V_Ra_04	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM067
22BM069	Kidney	V_Ra_04	this study	Bach Ma, Thua Thien Hue, Vietnam	16.1967,107.8619	2022-05-07	22BM069
22CB028	Kidney	V_Ra_04	this study	Cat Ba, Hai Phong, Vietnam	20.7536,107.0125	2022-11-27	22CB028
